"model"	"gene.flow.intensity.per.generation"	"simulation.replicate"	"number"	"fit_criteria1"	"fit_criteria2"	"fit_criteria3"	"odds_maxdist"	"odds_avgdist"	"FPR_maxdist"	"FPR_avgdist"	"FNR_maxdist"	"FNR_avgdist"	"FDR_maxdist"	"FDR_avgdist"
"2-way"	"10-5 to 10-2"	2	7	"%+/-2SE (0,1)"	"ps<0.001, p>=0.5"	"2. 'trailing' simpler models rejected"	0.19172593408795	0.167784576121454	0.00030051086847641	0.000392631613388738	0.996691048415186	0.996879875195008	0.321428571428571	0.428571428571429
"2-way"	"10-5 to 10-2"	3	7	"%+/-2SE (0,1)"	"ps<0.001, p>=0.5"	"2. 'trailing' simpler models rejected"	0.170805215226364	0.14927004952087	0.000163794797877219	0.000225094861405878	0.996739547372459	0.996768634209393	0.227272727272727	0.318181818181818
"2-way"	"10-5 to 10-2"	4	7	"%+/-2SE (0,1)"	"ps<0.001, p>=0.5"	"2. 'trailing' simpler models rejected"	0.169811320754717	0.147557840616967	3.27568134171908e-05	3.2133676092545e-05	0.997878086419753	0.997604529616725	0.0833333333333333	0.0833333333333333
"2-way"	"10-5 to 10-2"	5	7	"%+/-2SE (0,1)"	"ps<0.001, p>=0.5"	"2. 'trailing' simpler models rejected"	0.194215981277165	0.163409549866458	0.000133734536944166	0.000162855840010423	0.997934239972457	0.997807454654176	0.25	0.3125
"2-way"	"10-5 to 10-2"	6	7	"%+/-2SE (0,1)"	"ps<0.001, p>=0.5"	"2. 'trailing' simpler models rejected"	0.198264062760808	0.171628149889019	3.33834084460023e-05	0.000130565347956652	0.997305943761576	0.997527577025485	0.0588235294117647	0.235294117647059
"2-way"	"10-5 to 10-2"	7	7	"%+/-2SE (0,1)"	"ps<0.001, p>=0.5"	"2. 'trailing' simpler models rejected"	0.178181818181818	0.154818223057482	0.000132231404958678	0.000129609228177046	0.997773654916512	0.997488488907493	0.25	0.25
"2-way"	"10-5 to 10-2"	8	7	"%+/-2SE (0,1)"	"ps<0.001, p>=0.5"	"2. 'trailing' simpler models rejected"	0.1664237831536	0.140712589073634	0.000129537873635804	0.000190023752969121	0.997664915353182	0.997749268512267	0.25	0.375
"2-way"	"10-5 to 10-2"	9	7	"%+/-2SE (0,1)"	"ps<0.001, p>=0.5"	"2. 'trailing' simpler models rejected"	0.191985150319865	0.164389327807279	3.3146607444728e-05	0.000226654578422484	0.996201657458563	0.996848532597991	0.0434782608695652	0.304347826086957
"2-way"	"10-5 to 10-2"	10	7	"%+/-2SE (0,1)"	"ps<0.001, p>=0.5"	"2. 'trailing' simpler models rejected"	0.165716890813768	0.138613231552163	0.000130254974111824	0.00022264631043257	0.99606995480448	0.996099128040385	0.166666666666667	0.291666666666667
"2-way"	"10-5 to 10-4"	1	7	"%+/-2SE (0,1)"	"ps<0.001, p>=0.5"	"2. 'trailing' simpler models rejected"	0.168556132892458	0.145249025886347	0.00129900803023146	0.00119594151460206	0.997898178421298	0.997078353253652	0.785714285714286	0.738095238095238
"2-way"	"10-5 to 10-4"	2	7	"%+/-2SE (0,1)"	"ps<0.001, p>=0.5"	"2. 'trailing' simpler models rejected"	0.195978476352308	0.171382152480583	0.000525953796981834	0.000515137105721984	0.999587118084228	0.999537572254335	0.866666666666667	0.866666666666667
"2-way"	"10-5 to 10-4"	3	7	"%+/-2SE (0,1)"	"ps<0.001, p>=0.5"	"2. 'trailing' simpler models rejected"	0.177314833220689	0.150913330742324	0.000636107025006957	0.000699572483482316	0.997757847533632	0.997939737316508	0.615384615384615	0.692307692307692
"2-way"	"10-5 to 10-4"	4	7	"%+/-2SE (0,1)"	"ps<0.001, p>=0.5"	"2. 'trailing' simpler models rejected"	0.179152448218395	0.149238146801763	0.000396793905245615	0.000425400262974708	0.997120708748616	0.996890386110391	0.434782608695652	0.478260869565217
"2-way"	"10-5 to 10-4"	5	7	"%+/-2SE (0,1)"	"ps<0.001, p>=0.5"	"2. 'trailing' simpler models rejected"	0.16345473137733	0.141985793699815	0.0004719578384331	0.000463248919085855	0.99735322425409	0.997009244154432	0.521739130434783	0.521739130434783
"2-way"	"10-5 to 10-4"	6	7	"%+/-2SE (0,1)"	"ps<0.001, p>=0.5"	"2. 'trailing' simpler models rejected"	0.166955017301038	0.144013568730244	0.000629128656810318	0.000501117878343998	0.996467263306642	0.995182012847966	0.516129032258065	0.419354838709677
"2-way"	"10-5 to 10-4"	7	7	"%+/-2SE (0,1)"	"ps<0.001, p>=0.5"	"2. 'trailing' simpler models rejected"	0.168044508874349	0.142003447615399	0.000744426595619637	0.000727829917640299	0.996502681277687	0.995953601294848	0.558823529411765	0.558823529411765
"2-way"	"10-5 to 10-4"	8	7	"%+/-2SE (0,1)"	"ps<0.001, p>=0.5"	"2. 'trailing' simpler models rejected"	0.171316942262915	0.147407894228167	0.00055250799163345	0.000657208025669772	0.997466021653997	0.997901914503016	0.56	0.68
"2-way"	"10-5 to 10-4"	9	7	"%+/-2SE (0,1)"	"ps<0.001, p>=0.5"	"2. 'trailing' simpler models rejected"	0.182892851456774	0.157281931464174	0.000636841267314122	0.000428348909657321	0.999129488574538	0.997771725674672	0.8	0.55
"2-way"	"10-5 to 10-4"	10	7	"%+/-2SE (0,1)"	"ps<0.001, p>=0.5"	"2. 'trailing' simpler models rejected"	0.171218819071677	0.146954236239951	0.000631512472371329	0.000657081014223871	0.998847395112955	0.998947922146239	0.761904761904762	0.80952380952381
"3-way"	"10-3 to 10-2"	1	7	"%+/-2SE (0,1)"	"ps<0.001, p>=0.5"	"2. 'trailing' simpler models rejected"	0.0372856856053001	0.0325179856115108	2.40915478819514e-05	2.39808153477218e-05	0.995046306267499	0.994346116027532	0.115384615384615	0.115384615384615
"3-way"	"10-3 to 10-2"	2	7	"%+/-2SE (0,1)"	"ps<0.001, p>=0.5"	"2. 'trailing' simpler models rejected"	0.0386226453311728	0.0356773526370217	0	0	0.997272917977764	0.99705615942029	0	0
"3-way"	"10-3 to 10-2"	3	7	"%+/-2SE (0,1)"	"ps<0.001, p>=0.5"	"2. 'trailing' simpler models rejected"	0.0485138339281235	0.0429435013241248	8.09238264022076e-06	1.60987821271321e-05	0.996830692243536	0.996626054358013	0.05	0.1
"3-way"	"10-3 to 10-2"	4	7	"%+/-2SE (0,1)"	"ps<0.001, p>=0.5"	"2. 'trailing' simpler models rejected"	0.0379121720145977	0.0334828053681584	2.41684054491698e-05	0	0.994900127496813	0.993531384762817	0.111111111111111	0
"3-way"	"10-3 to 10-2"	5	7	"%+/-2SE (0,1)"	"ps<0.001, p>=0.5"	"2. 'trailing' simpler models rejected"	0.052721880438246	0.0452410503516585	2.4510404666781e-05	4.05603822410422e-05	0.997055633038897	0.996951766182535	0.136363636363636	0.227272727272727
